t	moyenne BV
18656	0,25
18657	0,0833333333
18658	0,0833333333
18659	0
18660	0
18661	0,1666666667
18662	16,6666666667
18663	55,5
18664	15,5833333333
18665	3,5833333333
18666	18,1666666667
18667	10,75
18668	14,6666666667
18669	47
18670	5,0833333333
18671	34,6666666667
18672	32,0833333333
18673	27,5833333333
18674	0,3333333333
18675	9,1666666667
18676	96,5
18677	18,5
18678	46,0833333333
18679	63,75
18680	29,4166666667
18681	33,1666666667
18682	14,1666666667
18683	20,1666666667
18684	20,0833333333
18685	33,25
18686	4,25
18687	0
18688	11,75
18689	12
18690	0,3333333333
18691	0
18692	0
18693	0
18694	0
18695	25,5
18696	2,5
18697	0,5833333333
18698	61,6666666667
18699	3,75
18700	69,3333333333
18701	27,8333333333
18702	1,6666666667
18703	65,6666666667
18704	87,5833333333
18705	65,6666666667
18706	87,4166666667
18707	5,8333333333
18708	4,0833333333
18709	4,75
18710	38,1666666667
18711	22,1666666667
18712	9,6666666667
18713	41,6666666667
18714	90,75
18715	2
18716	51,5
18717	32,4166666667
18718	26,0833333333
18719	44,5
18720	17,1666666667
18721	5,5833333333
18722	34,6666666667
18723	5,0833333333
18724	30,9166666667
18725	48,75
18726	43,9166666667
18727	114,8333333333
18728	15,5833333333
18729	2,9166666667
18730	0
18731	27
18732	1,3333333333
18733	0
18734	0
18735	0
18736	6,3333333333
18737	45,5833333333
18738	20,25
18739	0
18740	0
18741	0
18742	0
18743	0
18744	15,25
18745	34,25
18746	12,8333333333
18747	2,25
18748	11,5
18749	35
18750	10,25
18751	81,8333333333
18752	19,5
18753	10
18754	33,8333333333
18755	56,9166666667
18756	30,75
18757	3,5833333333
18758	3,4166666667
18759	0
18760	0
18761	0,3333333333
18762	5,1666666667
18763	33,4166666667
18764	58,3333333333
18765	70,1666666667
18766	28
18767	14,6666666667
18768	9,75
18769	40,25
18770	1,75
18771	4,25
18772	54,3333333333
18773	57,6666666667
18774	97,4166666667
18775	38,8333333333
18776	22,5
18777	42,9166666667
18778	3,4166666667
18779	121,4166666667
18780	56,5
18781	29,3333333333
18782	0
18783	2,5833333333
18784	3,8333333333
18785	0
18786	4,4166666667
18787	101,4166666667
18788	52
18789	16,4166666667
18790	11,75
18791	65,5
18792	0,8333333333
18793	61,6666666667
18794	56,5
18795	12,6666666667
18796	37,5833333333
18797	70,25
18798	4,4166666667
18799	0
18800	96,5833333333
18801	177,3333333333
18802	105,25
18803	37,3333333333
18804	28,9166666667
18805	22,1666666667
18806	89,8333333333
18807	22,1666666667
18808	11,6666666667
18809	0
18810	0
18811	0
18812	0
18813	0
18814	0
18815	0
18816	9,3333333333
18817	70,1666666667
18818	6,75
18819	64,9166666667
18820	72,75
18821	1,25
18822	17,5
18823	36,5833333333
18824	12,6666666667
18825	0,4166666667
18826	0
18827	0
18828	0
18829	0
18830	0
18831	10,5
18832	42
18833	10,5833333333
18834	0
18835	0
18836	0
18837	0
18838	1,8333333333
18839	2,6666666667
18840	27,6666666667
18841	64,6666666667
18842	6,0833333333
18843	53,1666666667
